"names.att","data.attributes"
"Att131","numeric"
"Att132","numeric"
"Att133","numeric"
"Att134","numeric"
"Att135","numeric"
"Att136","numeric"
"Att137","numeric"
"Att138","numeric"
"Att139","numeric"
"Att140","numeric"
"Att141","numeric"
"Att142","numeric"
"Att143","numeric"
"Att144","numeric"
"Att145","numeric"
"Att146","numeric"
"Att147","numeric"
"Att148","numeric"
"Att149","numeric"
"Att150","numeric"
"Att151","numeric"
"Att152","numeric"
"Att153","numeric"
"Att154","numeric"
"Att155","numeric"
"Att156","numeric"
"Att157","numeric"
"Att158","numeric"
"Att159","numeric"
"Att160","numeric"
"Att161","numeric"
"Att162","numeric"
"Att163","numeric"
"Att164","numeric"
"Att165","numeric"
"Att166","numeric"
"Att167","numeric"
"Att168","numeric"
"Att169","numeric"
"Att170","numeric"
"Att171","numeric"
"Att172","numeric"
"Att173","numeric"
"Att174","numeric"
"Att175","numeric"
"Att176","numeric"
"Att177","numeric"
"Att178","numeric"
"Att179","numeric"
"Att180","numeric"
"Att181","numeric"
"Att182","numeric"
"Att183","numeric"
"Att184","numeric"
"Att185","numeric"
"Att186","numeric"
"Att187","numeric"
"Att188","numeric"
"Att189","numeric"
"Att190","numeric"
"Att191","numeric"
"Att192","numeric"
"Att193","numeric"
"Att194","numeric"
"Att195","numeric"
"Att196","numeric"
"Att197","numeric"
"Att198","numeric"
"Att199","numeric"
"Att200","numeric"
"Att201","numeric"
"Att202","numeric"
"Att203","numeric"
"Att204","numeric"
"Att205","numeric"
"Att206","numeric"
"Att207","numeric"
"Att208","numeric"
"Att209","numeric"
"Att210","numeric"
"Att211","numeric"
"Att212","numeric"
"Att213","numeric"
"Att214","numeric"
"Att215","numeric"
"Att216","numeric"
"Att217","numeric"
"Att218","numeric"
"Att219","numeric"
"Att220","numeric"
"Att221","numeric"
"Att222","numeric"
"Att223","numeric"
"Att224","numeric"
"Att225","numeric"
"Att226","numeric"
"Att227","numeric"
"Att228","numeric"
"Att229","numeric"
"Att230","numeric"
"Att231","numeric"
"Att232","numeric"
"Att233","numeric"
"Att234","numeric"
"Att235","numeric"
"Att236","numeric"
"Att237","numeric"
"Att238","numeric"
"Att239","numeric"
"Att240","numeric"
"Att241","numeric"
"Att242","numeric"
"Att243","numeric"
"Att244","numeric"
"Att245","numeric"
"Att246","numeric"
"Att247","numeric"
"Att248","numeric"
"Att249","numeric"
"Att250","numeric"
"Att251","numeric"
"Att252","numeric"
"Att253","numeric"
"Att254","numeric"
"Att255","numeric"
"Att256","numeric"
"Att257","numeric"
"Att258","numeric"
"Att259","numeric"
"Att260","numeric"
"Att261","numeric"
"Att262","numeric"
"Att263","numeric"
"Att264","numeric"
"Att265","numeric"
"Att266","numeric"
"Att267","numeric"
"Att268","numeric"
"Att269","numeric"
"Att270","numeric"
"Att271","numeric"
"Att272","numeric"
"Att273","numeric"
"Att274","numeric"
"Att275","numeric"
"Att276","numeric"
"Att277","numeric"
"Att278","numeric"
"Att279","numeric"
"Att280","numeric"
"Att281","numeric"
"Att282","numeric"
"Att283","numeric"
"Att284","numeric"
"Att285","numeric"
"Att286","numeric"
"Att287","numeric"
"Att288","numeric"
"Att289","numeric"
"Att290","numeric"
"Att291","numeric"
"Att292","numeric"
"Att293","numeric"
"Att294","numeric"
"Beach","{0,1}"
"Sunset","{0,1}"
"FallFoliage","{0,1}"
"Field","{0,1}"
"Mountain","{0,1}"
"Urban","{0,1}"
